ZONA METROPOLITANA,CONTROL,CICLO,PRIMER INGRESO
ZM DE GUADALAJARA,PUBLICO,2023,17846
ZM DE GUADALAJARA,PUBLICO,2024,19097
ZM DE GUANAJUATO,PRIVADO,2014,216
ZM DE GUANAJUATO,PRIVADO,2015,257
ZM DE GUANAJUATO,PRIVADO,2016,273
ZM DE GUANAJUATO,PRIVADO,2017,239
ZM DE GUANAJUATO,PRIVADO,2018,528
ZM DE GUANAJUATO,PRIVADO,2019,362
ZM DE GUANAJUATO,PRIVADO,2020,302
ZM DE GUANAJUATO,PRIVADO,2021,231
ZM DE GUANAJUATO,PRIVADO,2022,335
ZM DE GUANAJUATO,PRIVADO,2023,309
ZM DE GUANAJUATO,PRIVADO,2024,256
ZM DE GUANAJUATO,PUBLICO,2014,1913
ZM DE GUANAJUATO,PUBLICO,2015,1970
ZM DE GUANAJUATO,PUBLICO,2016,1926
ZM DE GUANAJUATO,PUBLICO,2017,2203
ZM DE GUANAJUATO,PUBLICO,2018,2161
ZM DE GUANAJUATO,PUBLICO,2019,2551
ZM DE GUANAJUATO,PUBLICO,2020,2892
ZM DE GUANAJUATO,PUBLICO,2021,2676
ZM DE GUANAJUATO,PUBLICO,2022,2481
ZM DE GUANAJUATO,PUBLICO,2023,2418
ZM DE GUANAJUATO,PUBLICO,2024,2482
ZM DE GUAYMAS,PRIVADO,2014,121
ZM DE GUAYMAS,PRIVADO,2015,558
ZM DE GUAYMAS,PRIVADO,2016,796
ZM DE GUAYMAS,PRIVADO,2017,269
ZM DE GUAYMAS,PRIVADO,2018,786
ZM DE GUAYMAS,PRIVADO,2019,865
ZM DE GUAYMAS,PRIVADO,2020,560
ZM DE GUAYMAS,PRIVADO,2021,750
ZM DE GUAYMAS,PRIVADO,2022,573
ZM DE GUAYMAS,PRIVADO,2023,560
ZM DE GUAYMAS,PRIVADO,2024,304
ZM DE GUAYMAS,PUBLICO,2014,931
ZM DE GUAYMAS,PUBLICO,2015,981
ZM DE GUAYMAS,PUBLICO,2016,987
ZM DE GUAYMAS,PUBLICO,2017,931
ZM DE GUAYMAS,PUBLICO,2018,996
ZM DE GUAYMAS,PUBLICO,2019,1331
ZM DE GUAYMAS,PUBLICO,2020,978
ZM DE GUAYMAS,PUBLICO,2021,861
ZM DE GUAYMAS,PUBLICO,2022,1241
ZM DE GUAYMAS,PUBLICO,2023,1426
ZM DE GUAYMAS,PUBLICO,2024,1505
ZM DE HERMOSILLO,PRIVADO,2014,2989
ZM DE HERMOSILLO,PRIVADO,2015,2874
ZM DE HERMOSILLO,PRIVADO,2016,3094
ZM DE HERMOSILLO,PRIVADO,2017,3456
ZM DE HERMOSILLO,PRIVADO,2018,3228
ZM DE HERMOSILLO,PRIVADO,2019,4182
ZM DE HERMOSILLO,PRIVADO,2020,4835
